decision_time_ist,difficulty_used,diff_ratio,state_final,power_w_avg,temp_c_avg,hashrate_hs_avg,kWh_5min,cost_5min,hashes_5min,hash_per_kWh,hash_per_J,tariff_inr_per_kwh,state_change
2025-10-17 04:00:00,693266200967,1.211273110558283,HALF,112.6101136600212,62.20262990421393,6625.594218085575,0.0093841761383351,0.0656892329683457,1987678.2654256725,211811696.2133575,58.836582281488205,,False
2025-10-17 04:05:00,693442749051,1.2103440985111436,HALF,104.65312907890636,62.31893861465235,6721.3171062863985,0.008721094089908864,0.061047658629362046,2016395.1318859195,231208964.2765213,64.2247122990337,,False
2025-10-17 04:10:00,698070712532,1.2171445106009045,HALF,104.17437126595765,61.42946055862704,6798.2605710466005,0.00868119760549647,0.06076838323847529,2039478.1713139801,234930508.8992205,65.25847469422791,,False
2025-10-17 04:15:00,700020542248,1.219243897225117,HALF,105.79733297206279,60.814199764102675,6772.274058339063,0.008816444414338567,0.06171511090036996,2031682.217501719,230442355.4463187,64.0117654017552,,False
2025-10-17 04:20:00,700020542248,1.2179358218634322,HALF,113.11666786117418,61.482284291981294,6772.794512549268,0.009426388988431181,0.06598472291901827,2031838.3537647803,215547900.28911546,59.874416746976515,,False
2025-10-17 04:25:00,706150802795,1.227231463835359,HALF,111.3059559663241,63.47825266161887,6925.8591622876465,0.00927549633052701,0.06492847431368906,2077757.748686294,224005020.82547224,62.22361689596451,,False
2025-10-17 04:30:00,706340672138,1.2262498870396135,HALF,117.78035862706723,63.93989801894217,6912.619041614155,0.009815029885588935,0.06870520919912254,2073785.7124842466,211286744.58028024,58.690762383411176,,False
2025-10-17 04:35:00,701434194555,1.2164545690654411,HALF,111.77747831551633,62.03611816021508,6881.235439455336,0.00931478985962636,0.06520352901738452,2064370.6318366008,221622888.21826497,61.56191339396249,,False
2025-10-17 04:40:00,701434194555,1.2151704269823353,HALF,113.21043384437165,61.288614967888336,6917.741685384242,0.009434202820364303,0.06603941974255012,2075322.5056152728,219978576.3706036,61.10516010294545,,False
2025-10-17 04:45:00,701448034085,1.21390344199666,HALF,114.10180472982576,62.625324295416945,6834.481362685633,0.00950848372748548,0.06655938609239836,2050344.40880569,215633161.66581947,59.89810046272762,,False
2025-10-17 04:50:00,697439168960,1.2057278492393497,HALF,115.46939045857127,61.84413615650255,6858.804232897405,0.00962244920488094,0.06735714443416659,2057641.2698692216,213837581.8939624,59.39932830387845,,False
2025-10-17 04:55:00,697301654443,1.2042313720777014,HALF,108.26712252807961,61.280068626338405,6961.2872450373325,0.0090222602106733,0.0631558214747131,2088386.1735111997,231470399.2953613,64.29733313760036,,False
2025-10-17 05:00:00,697379325761,1.2031086927086307,HALF,114.0553090216197,62.18374151662355,6880.512344956092,0.009504609085134974,0.06653226359594482,2064153.7034868277,217173971.59606746,60.326103221129856,,False
2025-10-17 05:05:00,700582599085,1.2073514970482244,HALF,104.29227315693741,60.52170731079793,6779.453778024104,0.008691022763078116,0.06083715934154681,2033836.1334072314,234015741.16771773,65.00437254658826,,False
2025-10-17 05:10:00,700329741392,1.2056802766604133,HALF,100.44070423448423,62.427249167909245,6784.072403231133,0.008370058686207018,0.05859041080344912,2035221.7209693398,243155012.08171606,67.54305891158779,,False
2025-10-17 05:15:00,703253352799,1.209480851248211,HALF,111.44133663131527,61.70398116012049,6815.884572299295,0.009286778052609605,0.06500744636826723,2044765.3716897883,220180277.82145658,61.16118828373794,,False
2025-10-17 05:20:00,701227856031,1.2047550121612411,HALF,117.89213095643224,61.754893159988896,6684.932571096557,0.009824344246369352,0.06877040972458547,2005479.771328967,204133703.07846293,56.703806410684145,,False
2025-10-17 05:25:00,701273395050,1.203576071929876,HALF,111.92466547065344,61.6861554148607,6661.323255730396,0.009327055455887787,0.0652893881912145,1998396.976719119,214258078.14379543,59.51613281772095,,False
2025-10-17 05:30:00,701930826648,1.2034368940346858,HALF,103.46448404240515,62.166348499155355,6733.386464377287,0.008622040336867094,0.06035428235806966,2020015.939313186,234285141.38072094,65.07920593908915,,False
2025-10-17 05:35:00,700954896427,1.200503179798933,HALF,107.52018499828937,58.910017802826,6858.464748840533,0.008960015416524114,0.0627201079156688,2057539.4246521597,229635701.39149907,63.787694830971965,,False
2025-10-17 05:40:00,699432734292,1.1966519002337732,HALF,110.70291857893493,61.97359630221333,6779.64223076757,0.009225243214911243,0.06457670250437869,2033892.6692302711,220470357.45819515,61.24176596060976,,False
2025-10-17 05:45:00,701826494312,1.1994750485560062,HALF,109.19723353218784,59.79019602940893,6948.156792008543,0.009099769461015653,0.06369838622710958,2084447.0376025627,229065917.1677423,63.62942143548397,,False
